09-24 02:45:10 pair run: kiota-java-1.10.0, 14 MCIs, 13 to do, model gpt-5.6-luna
09-24 10:22:55 pair run: cloudstack, 1828 MCIs, 1816 to do, model gpt-5.6-luna, reverse
09-24 10:24:21   V2 com.cloud.domain.DomainVO::6: SUCCESS  model 78.56s (12 calls), audit 2.57s, total 83s, baseline reused
09-24 10:26:06   V1 com.cloud.domain.DomainVO::6: FAILED_BEHAVIORAL_EQUIVALENCE  model 47.39s (10 calls), audit 0s, total 106s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 10:27:39   V2 com.cloud.domain.DomainVO::5: FAILED_BEHAVIORAL_EQUIVALENCE  model 19.3s (2 calls), audit 0s, total 90s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 10:28:49   V1 com.cloud.domain.DomainVO::5: FAILED_BEHAVIORAL_EQUIVALENCE  model 17.92s (4 calls), audit 0s, total 70s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 10:31:15   V2 com.cloud.domain.DomainVO::4: FAILED_BEHAVIORAL_EQUIVALENCE  model 39.05s (3 calls), audit 0s, total 144s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 10:32:21   V1 com.cloud.domain.DomainVO::4: FAILED_BEHAVIORAL_EQUIVALENCE  model 10.04s (3 calls), audit 0s, total 66s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 10:36:05   V2 com.cloud.domain.DomainVO::3: FAILED_SYNTACTIC_VALIDITY  model 82.07s (8 calls), audit 0s, total 222s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 10:37:27   V1 com.cloud.domain.DomainVO::3: FAILED_BEHAVIORAL_EQUIVALENCE  model 28.72s (6 calls), audit 0s, total 81s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 10:37:58   V2 com.cloud.domain.DomainVO::2: MODEL_DECLINED  model 27.37s (2 calls), audit 0s, total 29s, baseline -  | No stage produced an applicable edit / æ²¡æœ‰ä»»ä½•é˜¶æ®µäº§å‡ºå¯åº”ç”¨çš„ç¼–è¾‘
09-24 10:39:46   V1 com.cloud.domain.DomainVO::2: FAILED_BEHAVIORAL_EQUIVALENCE  model 37.23s (7 calls), audit 0s, total 108s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 10:39:52   V2 com.cloud.domain.DomainVO::1: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡ / æœªä¿®æ”¹çš„éš”ç¦»å‰¯æœ¬æ— æ³•æä¾›å¯éªŒè¯çš„åŸºçº¿è¯æ®ï¼šCompilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 10:39:55   V1 com.cloud.domain.DomainVO::1: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡ / æœªä¿®æ”¹çš„éš”ç¦»å‰¯æœ¬æ— æ³•æä¾›å¯éªŒè¯çš„åŸºçº¿è¯æ®ï¼šCompilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 10:44:05   V2 org.apache.cloudstack.veeam.api.dto.Vm::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 77.92s (10 calls), audit 0s, total 250s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 10:45:30   V1 org.apache.cloudstack.veeam.api.dto.Vm::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 26.55s (7 calls), audit 0s, total 85s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 10:50:47   V2 com.cloud.offering.NetworkOffering::8: FAILED_SYNTACTIC_VALIDITY  model 273.24s (33 calls), audit 0s, total 314s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 10:53:52   V1 com.cloud.offering.NetworkOffering::8: FAILED_SYNTACTIC_VALIDITY  model 184.02s (25 calls), audit 0s, total 185s, baseline -  | Model's edits could not be applied / æ¨¡å‹ç»™å‡ºçš„ç¼–è¾‘æ— æ³•åº”ç”¨: V1 output could not be written back: server\src\test\java\com\cloud\network\guru\DirectNetworkGuruTest.java#te
09-24 10:55:11   V2 com.cloud.offering.NetworkOffering::7: FAILED_BEHAVIORAL_EQUIVALENCE  model 20.07s (2 calls), audit 0s, total 76s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 10:57:57   V1 com.cloud.offering.NetworkOffering::7: FAILED_BEHAVIORAL_EQUIVALENCE  model 12.57s (3 calls), audit 0s, total 166s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 11:00:11   V2 com.cloud.offering.NetworkOffering::6: SUCCESS  model 41.21s (7 calls), audit 2.65s, total 131s, baseline reused
09-24 11:01:23   V1 com.cloud.offering.NetworkOffering::6: FAILED_SYNTACTIC_VALIDITY  model 33.06s (6 calls), audit 0s, total 73s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 11:05:43   V2 com.cloud.offering.NetworkOffering::5: FAILED_BEHAVIORAL_EQUIVALENCE  model 36.49s (3 calls), audit 0s, total 247s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 11:06:30   V1 com.cloud.offering.NetworkOffering::5: FAILED_SYNTACTIC_VALIDITY  model 12.17s (3 calls), audit 0s, total 46s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 11:10:38   V2 com.cloud.offering.NetworkOffering::4: FAILED_BEHAVIORAL_EQUIVALENCE  model 88.41s (9 calls), audit 0s, total 246s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 11:11:56   V1 com.cloud.offering.NetworkOffering::4: FAILED_BEHAVIORAL_EQUIVALENCE  model 25.54s (6 calls), audit 0s, total 78s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 11:16:09   V2 com.cloud.offering.NetworkOffering::3: FAILED_BEHAVIORAL_EQUIVALENCE  model 90.43s (13 calls), audit 0s, total 250s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 11:17:33   V1 com.cloud.offering.NetworkOffering::3: FAILED_SYNTACTIC_VALIDITY  model 47.99s (11 calls), audit 0s, total 84s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 11:17:39   V2 com.cloud.offering.NetworkOffering::2: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡ / æœªä¿®æ”¹çš„éš”ç¦»å‰¯æœ¬æ— æ³•æä¾›å¯éªŒè¯çš„åŸºçº¿è¯æ®ï¼šCompilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 11:17:42   V1 com.cloud.offering.NetworkOffering::2: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡ / æœªä¿®æ”¹çš„éš”ç¦»å‰¯æœ¬æ— æ³•æä¾›å¯éªŒè¯çš„åŸºçº¿è¯æ®ï¼šCompilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 11:17:45   V2 com.cloud.offering.NetworkOffering::1: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡ / æœªä¿®æ”¹çš„éš”ç¦»å‰¯æœ¬æ— æ³•æä¾›å¯éªŒè¯çš„åŸºçº¿è¯æ®ï¼šCompilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 11:17:48   V1 com.cloud.offering.NetworkOffering::1: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡ / æœªä¿®æ”¹çš„éš”ç¦»å‰¯æœ¬æ— æ³•æä¾›å¯éªŒè¯çš„åŸºçº¿è¯æ®ï¼šCompilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 11:18:55   V2 org.apache.cloudstack.mom.webhook.api.response.WebhookDeliveryResponse::1: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 68s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡ / æœªä¿®æ”¹çš„éš”ç¦»å‰¯æœ¬æ— æ³•æä¾›å¯éªŒè¯çš„åŸºçº¿è¯æ®ï¼šTest execution did not pass / æµ‹è¯•æ‰§
09-24 11:19:46   V1 org.apache.cloudstack.mom.webhook.api.response.WebhookDeliveryResponse::1: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 51s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡ / æœªä¿®æ”¹çš„éš”ç¦»å‰¯æœ¬æ— æ³•æä¾›å¯éªŒè¯çš„åŸºçº¿è¯æ®ï¼šTest execution did not pass / æµ‹è¯•æ‰§
09-24 11:20:22   V2 org.apache.cloudstack.api.command.user.vpn.CreateVpnGatewayCmd::1: SUCCESS  model 29.89s (6 calls), audit 2.19s, total 33s, baseline reused
09-24 11:22:08   V1 org.apache.cloudstack.api.command.user.vpn.CreateVpnGatewayCmd::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 27.88s (5 calls), audit 0s, total 106s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 11:23:02   V2 org.apache.cloudstack.api.command.user.vm.RemoveIpFromVmNicCmd::1: SUCCESS  model 5.56s (2 calls), audit 2.92s, total 50s, baseline reused
09-24 11:24:04   V1 org.apache.cloudstack.api.command.user.vm.RemoveIpFromVmNicCmd::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 12.07s (3 calls), audit 0s, total 63s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 11:30:58   V2 org.apache.cloudstack.backup.BackupOffering::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 42.74s (5 calls), audit 0s, total 413s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 11:32:50 pair run: cloudstack, 1828 MCIs, 1798 to do, model gpt-5.6-luna, reverse
09-24 11:35:22   V1 org.apache.cloudstack.backup.BackupOffering::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 16.44s (3 calls), audit 0s, total 149s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 11:37:09   V2 com.cloud.cluster.ManagementServerHostVO::7: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 104s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡ / æœªä¿®æ”¹çš„éš”ç¦»å‰¯æœ¬æ— æ³•æä¾›å¯éªŒè¯çš„åŸºçº¿è¯æ®ï¼šTest execution did not pass / æµ‹è¯•æ‰§
09-24 11:39:19   V1 com.cloud.cluster.ManagementServerHostVO::7: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 130s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡ / æœªä¿®æ”¹çš„éš”ç¦»å‰¯æœ¬æ— æ³•æä¾›å¯éªŒè¯çš„åŸºçº¿è¯æ®ï¼šTest execution did not pass / æµ‹è¯•æ‰§
09-24 11:42:40   V2 com.cloud.cluster.ManagementServerHostVO::6: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 198s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡ / æœªä¿®æ”¹çš„éš”ç¦»å‰¯æœ¬æ— æ³•æä¾›å¯éªŒè¯çš„åŸºçº¿è¯æ®ï¼šTest execution did not pass / æµ‹è¯•æ‰§
09-24 11:44:12   V1 com.cloud.cluster.ManagementServerHostVO::6: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 92s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡ / æœªä¿®æ”¹çš„éš”ç¦»å‰¯æœ¬æ— æ³•æä¾›å¯éªŒè¯çš„åŸºçº¿è¯æ®ï¼šTest execution did not pass / æµ‹è¯•æ‰§
09-24 11:49:08   V2 com.cloud.cluster.ManagementServerHostVO::5: FAILED_BEHAVIORAL_EQUIVALENCE  model 40.78s (3 calls), audit 0s, total 293s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 11:49:26   V1 com.cloud.cluster.ManagementServerHostVO::5: MODEL_DECLINED  model 16.99s (3 calls), audit 0s, total 18s, baseline -  | V1: The replacement variable name `msHost2` is already declared as a local variable in the test, so replacing `msHost3` would reference the local variable inste
09-24 11:51:06   V2 com.cloud.cluster.ManagementServerHostVO::4: FAILED_BEHAVIORAL_EQUIVALENCE  model 26.5s (2 calls), audit 0s, total 97s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 11:53:59   V1 com.cloud.cluster.ManagementServerHostVO::4: FAILED_BEHAVIORAL_EQUIVALENCE  model 88.39s (16 calls), audit 0s, total 173s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 12:00:10   V2 com.cloud.cluster.ManagementServerHostVO::3: FAILED_BEHAVIORAL_EQUIVALENCE  model 125.54s (24 calls), audit 0s, total 367s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 12:03:19   V1 com.cloud.cluster.ManagementServerHostVO::3: FAILED_BEHAVIORAL_EQUIVALENCE  model 115.69s (21 calls), audit 0s, total 189s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 12:07:18   V2 com.cloud.cluster.ManagementServerHostVO::2: FAILED_BEHAVIORAL_EQUIVALENCE  model 61.69s (3 calls), audit 0s, total 236s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 12:08:30   V1 com.cloud.cluster.ManagementServerHostVO::2: FAILED_BEHAVIORAL_EQUIVALENCE  model 19.31s (4 calls), audit 0s, total 71s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 12:11:01   V2 com.cloud.cluster.ManagementServerHostVO::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 98.95s (11 calls), audit 0s, total 149s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 12:11:54   V1 com.cloud.cluster.ManagementServerHostVO::1: FAILED_SYNTACTIC_VALIDITY  model 51.76s (10 calls), audit 0s, total 53s, baseline -  | Model's edits could not be applied / æ¨¡å‹ç»™å‡ºçš„ç¼–è¾‘æ— æ³•åº”ç”¨: V1 output could not be written back: framework\extensions\src\test\java\org\apache\cloudstack\framework\extens
09-24 12:13:06   V2 org.apache.cloudstack.mom.webhook.api.command.user.DeleteWebhookCmd::1: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 70s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡ / æœªä¿®æ”¹çš„éš”ç¦»å‰¯æœ¬æ— æ³•æä¾›å¯éªŒè¯çš„åŸºçº¿è¯æ®ï¼šTest execution did not pass / æµ‹è¯•æ‰§
09-24 12:14:13   V1 org.apache.cloudstack.mom.webhook.api.command.user.DeleteWebhookCmd::1: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 67s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡ / æœªä¿®æ”¹çš„éš”ç¦»å‰¯æœ¬æ— æ³•æä¾›å¯éªŒè¯çš„åŸºçº¿è¯æ®ï¼šTest execution did not pass / æµ‹è¯•æ‰§
09-24 12:18:47   V2 org.apache.cloudstack.framework.config.impl.ConfigDepotImpl::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 67.34s (5 calls), audit 0s, total 271s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 12:20:17   V1 org.apache.cloudstack.framework.config.impl.ConfigDepotImpl::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 14.93s (3 calls), audit 0s, total 91s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 12:26:23   V2 org.apache.cloudstack.kms.KMSWrappedKeyVO::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 69.55s (5 calls), audit 0s, total 265s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 12:27:54   V1 org.apache.cloudstack.kms.KMSWrappedKeyVO::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 16.92s (3 calls), audit 0s, total 91s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 12:34:04   V2 com.cloud.agent.api.to.RemoteInstanceTO::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 86.37s (7 calls), audit 0s, total 368s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 12:35:58   V1 com.cloud.agent.api.to.RemoteInstanceTO::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 34.11s (5 calls), audit 0s, total 114s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 12:40:20   V2 com.cloud.dc.DataCenterGuestIpv6PrefixVO::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 59.36s (6 calls), audit 0s, total 259s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 12:41:37   V1 com.cloud.dc.DataCenterGuestIpv6PrefixVO::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 15.62s (3 calls), audit 0s, total 77s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 12:46:35   V2 com.cloud.storage.VMTemplateStoragePoolVO::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 114.23s (6 calls), audit 0s, total 296s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 12:48:21   V1 com.cloud.storage.VMTemplateStoragePoolVO::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 38.13s (4 calls), audit 0s, total 106s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 12:48:57   V2 com.cloud.network.bigswitch.NetworkData::1: SUCCESS  model 29.08s (4 calls), audit 3.58s, total 34s, baseline reused
09-24 12:50:34   V1 com.cloud.network.bigswitch.NetworkData::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 19.17s (3 calls), audit 0s, total 97s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 12:53:07   V2 org.apache.cloudstack.api.response.UserVmResponse::1: SUCCESS  model 99.2s (11 calls), audit 4.57s, total 151s, baseline reused
09-24 12:53:53   V1 org.apache.cloudstack.api.response.UserVmResponse::1: MODEL_DECLINED  model 44.35s (7 calls), audit 0s, total 46s, baseline -  | V1: stub does not match reusable method: createUserVmResponse only stubs getId(), but vm1.getGuestOsId() must be stubbed before the mock is used
09-24 12:58:43   V2 org.apache.cloudstack.api.command.admin.gpu.CreateVgpuProfileCmd::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 82.06s (6 calls), audit 0s, total 288s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 12:58:55   V1 org.apache.cloudstack.api.command.admin.gpu.CreateVgpuProfileCmd::1: MODEL_DECLINED  model 10.19s (2 calls), audit 0s, total 11s, baseline -  | V1: stub does not match reusable method: the helper does not configure getDescription(), getMaxVgpuPerPgpu(), or getCommandName(), which are required before the
09-24 12:59:49   V2 org.apache.cloudstack.region.Region::1: SUCCESS  model 7.2s (2 calls), audit 2.84s, total 52s, baseline reused
09-24 13:00:48   V1 org.apache.cloudstack.region.Region::1: FAILED_BEHAVIORAL_EQUIVALENCE  model 15.66s (3 calls), audit 0s, total 59s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 13:01:33   V2 com.cloud.network.dao.NetworkVO::36: SUCCESS  model 39.91s (5 calls), audit 3.69s, total 45s, baseline reused
09-24 13:02:53   V1 com.cloud.network.dao.NetworkVO::36: FAILED_BEHAVIORAL_EQUIVALENCE  model 13.67s (3 calls), audit 0s, total 80s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 13:02:59   V2 com.cloud.network.dao.NetworkVO::35: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 4s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡ / æœªä¿®æ”¹çš„éš”ç¦»å‰¯æœ¬æ— æ³•æä¾›å¯éªŒè¯çš„åŸºçº¿è¯æ®ï¼šCompilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 13:03:02   V1 com.cloud.network.dao.NetworkVO::35: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡ / æœªä¿®æ”¹çš„éš”ç¦»å‰¯æœ¬æ— æ³•æä¾›å¯éªŒè¯çš„åŸºçº¿è¯æ®ï¼šCompilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 13:03:18   V2 com.cloud.network.dao.NetworkVO::34: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 3s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡ / æœªä¿®æ”¹çš„éš”ç¦»å‰¯æœ¬æ— æ³•æä¾›å¯éªŒè¯çš„åŸºçº¿è¯æ®ï¼šCompilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 13:03:23   V1 com.cloud.network.dao.NetworkVO::34: ENVIRONMENT_NOT_READY  model 0s (0 calls), audit 0s, total 4s, baseline -  | The unchanged isolated copy cannot provide verification evidence: Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡ / æœªä¿®æ”¹çš„éš”ç¦»å‰¯æœ¬æ— æ³•æä¾›å¯éªŒè¯çš„åŸºçº¿è¯æ®ï¼šCompilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 13:03:55   V2 com.cloud.network.dao.NetworkVO::33: SUCCESS  model 28.41s (4 calls), audit 2.77s, total 32s, baseline reused
09-24 13:05:13   V1 com.cloud.network.dao.NetworkVO::33: FAILED_BEHAVIORAL_EQUIVALENCE  model 15.52s (3 calls), audit 0s, total 78s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 13:09:05   V2 com.cloud.network.dao.NetworkVO::32: FAILED_BEHAVIORAL_EQUIVALENCE  model 49.3s (3 calls), audit 0s, total 230s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 13:10:22   V1 com.cloud.network.dao.NetworkVO::32: FAILED_BEHAVIORAL_EQUIVALENCE  model 20.81s (4 calls), audit 0s, total 77s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 13:14:06   V2 com.cloud.network.dao.NetworkVO::31: FAILED_BEHAVIORAL_EQUIVALENCE  model 52.21s (5 calls), audit 0s, total 222s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 13:15:33   V1 com.cloud.network.dao.NetworkVO::31: FAILED_BEHAVIORAL_EQUIVALENCE  model 18.38s (3 calls), audit 0s, total 87s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 13:17:30   V2 com.cloud.network.dao.NetworkVO::30: FAILED_BEHAVIORAL_EQUIVALENCE  model 59.58s (4 calls), audit 0s, total 115s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 13:18:32   V1 com.cloud.network.dao.NetworkVO::30: FAILED_SYNTACTIC_VALIDITY  model 19.57s (3 calls), audit 0s, total 61s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 13:21:06   V2 com.cloud.network.dao.NetworkVO::29: FAILED_BEHAVIORAL_EQUIVALENCE  model 45.49s (3 calls), audit 0s, total 152s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 13:22:28   V1 com.cloud.network.dao.NetworkVO::29: FAILED_BEHAVIORAL_EQUIVALENCE  model 19.4s (3 calls), audit 0s, total 82s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 13:26:20   V2 com.cloud.network.dao.NetworkVO::28: FAILED_BEHAVIORAL_EQUIVALENCE  model 65.87s (5 calls), audit 0s, total 229s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 13:27:35   V1 com.cloud.network.dao.NetworkVO::28: FAILED_BEHAVIORAL_EQUIVALENCE  model 19.25s (3 calls), audit 0s, total 75s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 13:32:16   V2 com.cloud.network.dao.NetworkVO::27: FAILED_BEHAVIORAL_EQUIVALENCE  model 119.08s (7 calls), audit 0s, total 278s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 13:33:29   V1 com.cloud.network.dao.NetworkVO::27: FAILED_SYNTACTIC_VALIDITY  model 36.02s (5 calls), audit 0s, total 74s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
09-24 13:39:17   V2 com.cloud.network.dao.NetworkVO::26: FAILED_BEHAVIORAL_EQUIVALENCE  model 190.78s (14 calls), audit 0s, total 345s, baseline reused  | Test execution did not pass / æµ‹è¯•æ‰§è¡Œæœªé€šè¿‡
09-24 13:41:49   V1 com.cloud.network.dao.NetworkVO::26: FAILED_SYNTACTIC_VALIDITY  model 110.49s (12 calls), audit 0s, total 152s, baseline reused  | Compilation did not pass / ç¼–è¯‘æœªé€šè¿‡
